"","locnum","cormean","corsd","se"
"X1",1,NA,NA,NA
"X2",2,0.00817948043114778,0.0524296787019459,0.00818814015749382
"X3",3,0.00307072158253568,0.0215862553320929,0.00337120670030093
"X4",4,0.0028266737716645,0.01471813731572,0.00229858687258907
"X5",5,0.00339599816073057,0.0114079988656085,0.00178163009846303
"X6",6,0.00279873190669559,0.00943201952832945,0.00147303397194601
"X7",7,0.00251038030368714,0.00775805668906604,0.00121160489807651
"X8",8,0.00294610805896591,0.00703884283192743,0.00109928256440476
"X9",9,0.00252262729641064,0.00588161802575893,0.000918554413074609
"X10",10,0.00265405790698562,0.0053508850858581,0.000835667853292096
"X11",11,0.00253962002782742,0.00478574960059113,0.000747408518581211
"X12",12,0.00238834087465885,0.00435744208141517,0.000680518122066325
"X13",13,0.00258543185130286,0.00393245660374903,0.000614146541271178
"X14",14,0.00250863207870645,0.00377749309856973,0.000589945307711882
"X15",15,0.00247984102598961,0.00342637933556721,0.000535110550492914
"X16",16,0.00252007029932086,0.00306444634878589,0.000478586114395696
"X17",17,0.00246076217994857,0.00277904607628209,0.000434014080194744
"X18",18,0.00260786918513964,0.00270843613513825,0.000422986660059577
"X19",19,0.0024158732822373,0.00261805778469519,0.000408871933077598
"X20",20,0.00238315592707961,0.00235542916431782,0.000367856233453649
"X21",21,0.00249604322413859,0.00224274201697224,0.000350257457736195
"X22",22,0.00259785984234968,0.00212032449187595,0.000331139052320814
"X23",23,0.00238136840307852,0.00199581439295255,0.000311693841778824
"X24",24,0.00244232742039994,0.00191715695135802,0.000299409613224474
"X25",25,0.00242368099716694,0.00170538677739031,0.000266336668500131
"X26",26,0.002423505032824,0.00168391070606741,0.000262982669651047
"X27",27,0.00245905238204694,0.00150953528350869,0.000235749803929135
"X28",28,0.00240293787773216,0.00143411592545169,0.00022397127906215
"X29",29,0.00243898547330744,0.00134964041126271,0.000210778420223783
"X30",30,0.00244201918851096,0.0012406542676316,0.00019375764417918
"X31",31,0.00248871007332951,0.00122115758735751,0.000190712774276437
"X32",32,0.00242162320839569,0.00107645966154423,0.000168114754864699
"X33",33,0.00242073365977571,0.00102991073511234,0.000160845033911953
"X34",34,0.00242036106973288,0.000885868883069477,0.000138349476009018
"X35",35,0.00245941399338214,0.000820771718612807,0.000128183006947538
"X36",36,0.00241272758735448,0.000734778843177016,0.000114753176095113
"X37",37,0.00245886561201347,0.000662869809047328,0.000103522871721303
"X38",38,0.00245356392828673,0.000558291368367679,8.71904632279179e-05
"X39",39,0.00240033030895818,0.000445790650731582,6.96208029395209e-05
"X40",40,0.00240887984752847,0.000317524915353511,4.95890605241189e-05
"V41",41,0.00241214033925652,0,0
