"locnum" "cormean" "corsd" "se" "locnum" "cormean" "corsd" "se" "locnum" "cormean" "corsd" "se" "locnum" "cormean" "corsd" "se" "locnum" "cormean" "corsd" "se"
"X1" 1 0.0414195428717407 0.1541706682363 0.0240774132313433 1 0.0379254115517559 0.172354421543134 0.0269172383905259 1 0.0294859126594202 0.120410465265398 0.0188049553312546 1 -0.000861469295534904 0.157924582280857 0.0246636761094881 1 NA NA NA
"X2" 2 0.0640100430008372 0.157313525412727 0.0245682450596644 2 0.0917106244614515 0.155039742243957 0.0242131397884786 2 0.0499449226350216 0.11424789898038 0.0178425241716353 2 -0.00539268007703375 0.134024177722592 0.0209310600189642 2 -0.0114761663989466 0.119176177493832 0.0186121919667159
"X3" 3 0.0728199357200704 0.155775446099042 0.0243280374271631 3 0.129152167304036 0.173688591777146 0.0271256007749712 3 0.0205158397700176 0.140055254579851 0.0218729559800017 3 0.00858866242290006 0.141935646981392 0.0221666239351771 3 -0.00233635317682191 0.103251006340216 0.0161250980789359
"X4" 4 0.125480158830657 0.141586424661552 0.0221120845717523 4 0.13533159251763 0.155943138317571 0.0243542265517703 4 0.0305819566374357 0.129251357049984 0.0201856706597034 4 0.031073759073383 0.142263892927119 0.022217887339346 4 0.0230113738923825 0.090864440827723 0.0141906415459702
"X5" 5 0.130910028625551 0.159921621025942 0.0249755611629454 5 0.146466086017528 0.153160864602511 0.0239197083990856 5 0.045915218738032 0.135883814565902 0.0212214865005307 5 0.0307645642977941 0.129210430947244 0.0201792790762791 5 0.00698471435673981 0.0847105460282454 0.013229564644869
"X6" 6 0.165580370209299 0.145692182262072 0.0227532961816282 6 0.152052231303715 0.14065489902633 0.021966604709004 6 0.0552736024735394 0.111335510762092 0.0173876855475053 6 0.0211102089380247 0.133445595953991 0.0208407007276017 6 0.0149897869445614 0.0747386442590367 0.011672215232388
"X7" 7 0.175010823862872 0.153695308417843 0.0240031745002441 7 0.168507613829988 0.154907987983 0.0241925632299001 7 0.0244875405422272 0.130431329464906 0.0203699513906665 7 0.0278786718310429 0.133258481369591 0.0208114783390517 7 0.0156579488759324 0.0929754029000046 0.0145203184340025
"X8" 8 0.172627778337498 0.122102930076902 0.0190692739277313 8 0.176560546777014 0.137455154380363 0.0214668885505605 8 0.0532806181665831 0.105469228702023 0.0164715262098847 8 0.0492809256764713 0.136399835229204 0.0213020753887307 8 0.0174208894293984 0.0719838882939424 0.0112419946302342
"X9" 9 0.171687496798548 0.145773564530985 0.0227660059567154 9 0.192137565413763 0.151151484566209 0.0236058959597524 9 0.050393470369993 0.116941294804773 0.0182631619297859 9 0.0323009931619455 0.123977551756883 0.0193620406476118 9 0.0322445306368052 0.0844801175716199 0.0131935777659516
"X10" 10 0.182694399590174 0.122498216656889 0.0191310073199518 10 0.200272880444534 0.14220800166996 0.0222091585914589 10 0.0471551637180337 0.107672085784809 0.0168155546874064 10 0.0440196410860182 0.11944356566422 0.01865395098317 10 0.00830278101462736 0.0760769172585846 0.0118812183611614
