,M44,M16,M7,M6,M39,M30,M48,M41,M12,M35,M18,M23,M31,M25,M20,M17,M4,M40,M29,M15,M21,M8,M37,M5,M14,M24,M26,M27,M28,M3,M2,M45,M9,M19,M46,M36,M47,M33,M10,M43,M38
M44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M16,0.0387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M7,-0.0092,0.0386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6,0.1737,0.1119,0.0205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M39,0.0639,0.0509,0.2259,-0.0484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M30,0.1008,0.188,0.0587,0.0956,0.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M48,0.1455,0.1827,0.1405,0.2024,0.1645,0.1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M41,-0.0006,0.2718,0.1842,0.0876,0.0776,0.2635,0.0665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M12,0.0062,0.2964,0.014,-0.013,0.2253,0.0982,0.2347,0.1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M35,0.1863,0.0584,0.3221,0.0208,0.1569,0.2023,0.1354,0.1265,0.1218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M18,0.2063,0.2388,-0.0401,0.0716,0.1055,0.2516,0.2731,0.3593,0.215,0.1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M23,0.0351,0.1566,0.2225,0.2152,-0.0106,0.1658,0.1284,0.1839,-0.0223,0.085,0.1595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M31,0.062,0.1418,0.0633,0.1399,0.0355,0.1412,0.1548,0.0935,0.1739,0.1462,0.2102,0.1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M25,-0.0335,0.2572,0.0766,0.0737,0.13,0.1222,0.0135,0.215,0.2308,0.0897,0.0155,0.3014,0.0739,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20,0.0188,0.0789,0.1976,0.1364,0.1271,0.0394,0.188,-0.012,0.1125,0.2062,0.1066,0.1554,0.1268,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,
M17,0.2363,0.0429,0.1441,0.1666,0.1399,0.1059,0.146,0.0681,0.0306,0.1694,0.0089,0.1483,-0.0187,0.23,0.1833,,,,,,,,,,,,,,,,,,,,,,,,,,
M4,0.112,0.1134,0.2475,0.1675,0.1013,0.0722,0.0694,0.043,-0.0211,0.0689,0.0192,0.0615,0.0508,0.232,0.0954,0.1548,,,,,,,,,,,,,,,,,,,,,,,,,
M40,0.0259,0.1353,0.0259,0.1355,0.2602,0.1022,0.1121,0.0845,0.213,0.0665,0.138,-0.0158,0.0357,0.1485,0.1875,0.1871,0.0307,,,,,,,,,,,,,,,,,,,,,,,,
M29,0.0723,0.1251,0.1499,0.2142,0.1491,0.0293,0.0953,0.0897,0.258,0.1341,0.0484,-0.003,0.1015,0.0625,0.1324,0.0381,0.0925,0.1497,,,,,,,,,,,,,,,,,,,,,,,
M15,0.1582,0.0197,0.1393,0.2893,0.0382,0.1649,0.0742,0.0805,0.0448,0.2026,0.2487,0.1268,0.1714,0.1666,0.1343,0.1811,0.1206,-0.1029,0.1278,,,,,,,,,,,,,,,,,,,,,,
M21,0.2754,0.2365,0.1264,0.0059,0.1938,0.0902,0.0531,0.1386,0.0381,0.1391,0.0213,0.0932,0.0521,0.1478,0.1635,0.0966,0.2354,0.1518,0.1145,0.1062,,,,,,,,,,,,,,,,,,,,,
M8,-0.0678,0.1948,0.201,0.0816,0.1609,0.2329,0.1179,0.2974,0.2508,0.2779,0.0187,0.21,0.1133,0.2686,0.2595,0.0932,0.0752,0.1283,0.2519,0.0602,0.2383,,,,,,,,,,,,,,,,,,,,
M37,0.0863,0.1758,0.1483,0.0917,0.0415,0.0706,0.1482,0.1525,-0.0182,-0.0579,0.0217,0.1468,0.0976,0.1827,0.1328,0.1572,0.1545,0.2267,0.1131,-0.1039,-0.0112,0.1947,,,,,,,,,,,,,,,,,,,
M5,0.156,0.0908,0.0858,0.0284,0.1462,0.3506,0.1058,0.1782,0.1283,0.0828,0.1004,0.125,0.0217,0.1994,0.0813,0.1078,-0.065,0.2299,0.211,0.1286,0.0581,0.1246,0.1512,,,,,,,,,,,,,,,,,,
M14,0.1663,0.0669,0.1729,-0.0413,0.3557,0.1662,-0.0165,0.1151,0.0197,0.2423,0.1208,0.0449,-0.1194,0.0056,0.02,0.0383,0.2497,0.1589,0.1016,-0.0697,0.2462,-0.0002,0.0196,0.0083,,,,,,,,,,,,,,,,,
M24,0.1067,0.1854,0.2609,0.0144,0.0435,0.2011,0.1381,0.122,0.1225,0.0829,0.0378,0.2203,0.1486,0.2,0.1462,0.1165,0.0274,0.0318,0.1011,0.2445,0.1586,0.1675,-0.0059,0.0171,0.1018,,,,,,,,,,,,,,,,
M26,-0.0018,0.1905,0.1317,0.0604,0.1048,0.1637,0.1373,0.1879,0.0798,0.2145,0.1328,0.0709,0.2048,0.2384,0.1159,0.1073,0.3038,0.1047,0.1077,0.1961,0.0661,0.0739,0.1106,0.0376,0.1184,0.0498,,,,,,,,,,,,,,,
