ID,SH
M10,0.8757
M12,0.9663
M14,0.8993
M15,0.9663
M16,0.9543
M17,0.985
M18,1.0543
M19,0.9361
M2,1.1625
M20,1.1082
M21,0.8361
M23,0.9622
M24,1.0267
M25,0.9451
M26,0.9543
M27,1.0267
M28,0.982
M29,1.0871
M3,1.1173
M30,1.0233
M31,0.9576
M33,1.0267
M35,0.8757
M36,1.1429
M37,1.0267
M38,1.0267
M39,1.0045
M4,1.0267
M40,0.9392
M41,1.0267
M43,0.7856
M44,1.0267
M45,0.8993
M46,1.1792
M47,0.9205
M48,1.1435
M5,0.9361
M6,1.0569
M7,0.8904
M8,0.9059
M9,0.9303
P10,0.9885
P12,0.9581
P14,0.9923
P15,0.9613
P16,0.8868
P17,1.0871
P18,0.9361
P19,0.9361
P2,1.0002
P20,1.0158
P21,0.9478
P23,1.1777
P24,1.0547
P25,0.9452
P26,1.0543
P27,1.0871
P28,0.8154
P29,1.1173
P3,0.9663
P30,0.9184
P31,1.1026
P33,1.0706
P35,1.045
P36,1.0871
P37,1.0396
P38,1.0569
P39,1.0119
P4,0.9361
P40,0.9965
P41,0.9663
P43,0.9303
P44,1.0569
P45,0.9361
P46,1.0569
P47,1.1134
P48,1.0267
P5,0.9361
P6,1.1475
P7,1.0774
P8,1.0267
P9,0.8757
