ID,SH,HL
M10,0.8744,0.29012
M12,0.9872,0.21871
M14,0.9182,0.25027
M15,0.959,0.23707
M16,0.9763,0.1916
M17,1.005,0.16494
M18,1.0697,0.1525
M19,0.9026,0.25726
M2,1.1707,0.07357
M20,1.0911,0.12061
M21,0.8662,0.30635
M23,0.9549,0.26762
M24,1.0436,0.15489
M25,0.9389,0.24042
M26,0.9763,0.19832
M27,1.0391,0.15823
M28,0.9732,0.23397
M29,1.1,0.12836
M3,1.1,0.11643
M30,1.0119,0.18601
M31,0.9219,0.26129
M33,1.0436,0.16406
M35,0.8461,0.29246
M36,1.1224,0.11326
M37,1.0154,0.18673
M38,0.9872,0.20238
M39,0.9929,0.18852
M4,0.9872,0.21869
M40,0.9031,0.26072
M41,1.0154,0.20053
M43,0.7905,0.34793
M44,1.0436,0.16288
M45,0.9252,0.2442
M46,1.1863,0.07168
M47,0.9159,0.24409
M48,1.1235,0.11284
M5,0.959,0.23647
M6,1.068,0.15777
M7,0.9471,0.24802
M8,0.8744,0.27994
M9,0.983,0.23625
P10,0.9795,0.20924
P12,1.0104,0.20756
P14,0.9541,0.22595
P15,0.9474,0.21222
P16,0.8845,0.25515
P17,1.0436,0.1562
P18,0.959,0.2379
P19,0.959,0.21319
P2,0.9574,0.24431
P20,1.005,0.18483
P21,0.9629,0.19991
P23,1.1282,0.09449
P24,1.0705,0.13185
P25,0.9593,0.20169
P26,1.0697,0.1565
P27,1.1,0.13373
P28,0.8179,0.32474
P29,1.1,0.12
P3,0.959,0.21646
P30,0.9918,0.23909
P31,1.1149,0.1157
P33,1.086,0.11324
P35,1.0623,0.13384
P36,1.0436,0.16971
P37,1.0563,0.13926
P38,1.0436,0.16052
P39,1.0141,0.16417
P4,0.9026,0.24649
P40,0.9872,0.19301
P41,0.959,0.23271
P43,0.9541,0.23182
P44,1.0718,0.12991
P45,0.959,0.21982
P46,1.0436,0.16113
P47,1.0955,0.12544
P48,1.0154,0.18375
P5,0.959,0.23929
P6,1.1282,0.11449
P7,1.0624,0.14437
P8,1.0154,0.19612
P9,0.9308,0.26
