"","M10","M12","M14","M15","M16","M17","M18","M19","M2","M20","M21","M23","M24","M25","M26","M27","M28","M29","M3","M30","M31","M33","M35","M36","M37","M38","M39","M4","M40","M41","M43","M44","M45","M46","M47","M48","M5","M6","M7","M8","M9","P10","P12","P14","P15","P16","P17","P18","P19","P2","P20","P21","P23","P24","P25","P26","P27","P28","P29","P3","P30","P31","P33","P35","P36","P37","P38","P39","P4","P40","P41","P43","P44","P45","P46","P47","P48","P5","P6","P7","P8","P9"
"8.061111111",0,0,3.222626088,0,0,2.330450218,0,0,0,0,0,0,2.152363493,0,0,0,0,0.595651511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32950554,0,1.969616003,0,0,0,0,0,0,0,0,0,0,2.067180982,0,0,0,0,0,0,1.213160502,0,2.398470524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8.23",0,0,1.665421207,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705695916,0,0,0.44861364,0,0,0,0,0,0,0,0,0,0,0,0.842721041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05285381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8.307142857",0,0.486496101,0,0,0.68499149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166691677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335619914,0,0,0,0,0,0,0,0,0,0,0,0,0.522720255,0.159725969,0,0,0,0,0,0,0.481189441,0,0,0,0,0,0,0,0,0,0,0,0
"8.394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392780191,0,0,0,0,0,0,0,1.40034688,0,0,0,0,0,0,0,0.327289761,0,0,0,0,0.320928541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739795291,0,0,0
"8.47375",0,0,0,0,1.008018318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.928736029,0,0,0,0,0,0,2.006514766,2.145744575,0,1.295531094,0,2.183047995,0,0,0,1.109869601,0,2.080588756,0,0,0,1.232578084,0,0,0,1.334034096,0,0,0,0,0,0,1.911334285,0,0,0.922009169,0,0,0.460231223,0,0,0,0,0,0,0,0,0.849288877,0,0,0,0,0,1.128234416,1.359726468,0,0,0,0,0,0,0
"8.516153846",0.656209044,0,0,0,0.565489464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.873555221,0.534027201,0,0,0,0,0,0,0,0,1.157223425,0,0.250098804,0,0,0,0,0,2.714669252,0,0,0,0.954173875,0,0.45002042,0,0,0,0,0,0,0.77642514,0,0,0,0,1.863678965,0,0.588660361,0,0,1.041708156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8.545666667",0,1.223475035,0,0,1.533951981,0,0,0,0,1.132181252,0,0,0.393080347,0,0,0,0,0,0,0,0,0,0,0,0.344911588,0,0,0,0,0.276049855,0,0,0,0,0.839626488,0,0,0,0,0,0,0,0,0,0.412064266,0,0,1.329415727,0,0,0,0,0,0,0,0.733820687,0,0.269562053,0.300665965,1.106767127,0,0,0,0,0,0,0,0,0,0.396490813,0.706279654,0,0,0,0,0,0,0,0,0,0,0
"8.99",0.511533469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611435066,0,0,0,1.419308222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9.26",0,0,0,0,0,0,0,0,0,0,0,0,0.57798921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207715675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.591293936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9.693125",0,0.863825002,0,0,0,0,1.359812867,0.185290411,1.153816857,0,0,1.134152734,0.612606315,0,0.598612728,0,0.570607928,0,0,0,0.763808796,0,0,0.245939936,0.235187414,0.786267021,0,0,0.142692484,0,0,0,0.58077166,0.623308558,0,0,0,0,0,0,1.407211535,0,0,0,0,0.363001515,0,0,0,0,0,0,0,0,0,0.940361248,0,0,0,0,1.558871196,0,0,0,0,0,1.092827176,0,0,0,0.65941801,0,1.541934292,0,0.408132449,0,0,0,0,0,0,1.218302308
"9.7",0,0.238495138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715198902,0,0,0,0,1.259893512,0,0,0,0,0,0,1.410504387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338687953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9.776",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130391138,0,0,0,0,0,0,0,0,0.834353035,1.508455301,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854124148,0,0,0,1.004558487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9.89",0,0,0,0,0,0,0,0,1.513720089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345128122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521206549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9.915",0,0,0,0,0,0,0,0,0,0,0,0.736331002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518424927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32230665,0,0,0,0,0,0,0,0.749252864
