ID,XY
M1,1910
M10,NA
M11,NA
M12,NA
M13,NA
M14,NA
M15,1008
M16,NA
M17,NA
M18,NA
M19,1012
M2,2515
M20,NA
M21,NA
M22,NA
M23,NA
M24,NA
M25,NA
M26,2313
M27,2618
M28,2618
M29,2813
M3,2616
M30,NA
M31,NA
M32,NA
M33,NA
M35,NA
M36,NA
M37,2009
M38,NA
M39,NA
M4,2513
M40,2913
M41,2718
M43,2014
M44,2814
M45,2317
M46,1814
M47,2715
M48,618
M5,2416
M6,NA
M7,NA
M8,NA
M9,2218
P1,1910
P10,NA
P11,NA
P12,NA
P13,NA
P14,NA
P15,1008
P16,NA
P17,NA
P18,NA
P19,1012
P2,2515
P20,NA
P21,NA
P22,NA
P23,NA
P24,NA
P25,NA
P26,2313
P27,2618
P28,2618
P29,2813
P3,2616
P30,NA
P31,NA
P32,NA
P33,NA
P35,NA
P36,NA
P37,2009
P38,NA
P39,NA
P4,2513
P40,2913
P41,2718
P43,2014
P44,2814
P45,2317
P46,1814
P47,2715
P48,618
P5,2416
P6,NA
P7,NA
P8,NA
P9,2218
