,M44,M16,M7,M6,M39,M30,M48,M41,M12,M35,M18,M23,M31,M25,M20,M17,M4,M40,M29,M15,M21,M8,M37,M5,M14,M24,M26,M27,M28,M3,M2,M45,M9,M19,M46,M36,M47,M33,M10,M43,M38
M44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M16,29.45631948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M7,28.85313002,54.56777394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6,29.45793316,44.58970549,33.57409266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M39,42.55167961,59.31519901,39.12143603,37.15576901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M30,48.98350741,50.35906682,34.39967141,33.6245209,71.79836332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M48,54.51377358,34.07501298,20.75594021,46.68754699,40.7952027,42.69951457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M41,51.29990938,30.28171537,21.65951526,29.98676898,39.52284462,39.08351653,52.98607204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M12,38.09305402,48.40129506,35.6492169,26.57930998,55.6147174,57.95018862,34.09123758,30.82950897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M35,47.22477018,53.52672771,39.47495893,51.76751771,55.579645,59.49624185,44.36044275,37.47847466,49.97361684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M18,38.99054999,52.84807819,50.21565466,40.04328316,41.16268574,40.29575042,33.90453562,34.42621244,47.23379047,59.93104805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M23,22.3997436,40.81159036,27.18935621,53.8452516,33.37704958,31.6956208,41.96155477,28.17310017,27.48817981,36.77665817,32.78128421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M31,36.44023984,46.87479497,36.46518552,32.11475782,59.88157096,61.35324717,39.69417329,44.29455115,49.64651196,55.02911186,43.78074826,39.34614465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M25,51.28852588,54.11143396,43.20380949,30.72897743,50.71598927,55.90254536,38.94843744,34.56072313,49.55175793,59.78752477,66.20484975,25.00658444,45.21473863,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20,37.34535666,42.64440844,47.02760009,25.57200204,37.68159808,40.52654572,30.68893611,31.13554016,43.18030621,48.29705231,54.20626423,18.57082334,34.268183,57.4292185,,,,,,,,,,,,,,,,,,,,,,,,,,,
M17,26.40633441,37.25529613,40.37828059,17.57287108,41.40973399,43.13021774,23.5615586,23.19775997,40.58738085,37.4060847,40.85400462,15.33391111,34.52290965,48.202772,53.75705914,,,,,,,,,,,,,,,,,,,,,,,,,,
M4,56.2845354,14.15994142,14.32527424,21.12322408,22.32291105,27.14364739,38.89638869,48.08525633,19.91204454,29.35384679,32.34117092,14.38794333,13.1569851,41.48984543,30.29551701,17.31455451,,,,,,,,,,,,,,,,,,,,,,,,,
M40,30.05991707,15.05233956,16.56811649,16.44653706,23.41474997,22.63360393,36.51580381,40.46102315,21.59791023,23.27789627,26.06699736,19.54164318,20.65946355,27.77942689,17.30886794,16.16437355,37.77433678,,,,,,,,,,,,,,,,,,,,,,,,
M29,34.62663631,14.45037181,12.52676974,20.41885826,26.66884613,28.27522203,41.84192961,51.08786106,26.14801929,24.81533437,27.14487108,22.02446576,22.09769456,27.44833957,25.47851609,13.95030368,48.52569656,39.41197467,,,,,,,,,,,,,,,,,,,,,,,
M15,42.87349598,9.922126765,13.66820446,13.67932603,15.5436979,17.61674004,29.43633503,46.06028183,22.45396324,25.01782506,30.82941608,12.84029506,9.047440947,31.53550646,29.75238235,20.28706359,68.3462215,35.04480222,51.30014697,,,,,,,,,,,,,,,,,,,,,,
M21,45.6495114,50.72196688,46.54790102,39.83367933,55.57663971,55.19587818,39.14311041,33.51230268,54.70436727,62.32974818,59.71397341,32.12771619,46.07721558,65.07403928,57.20605349,50.43874183,25.64188314,25.57971365,26.98675898,29.01574906,,,,,,,,,,,,,,,,,,,,,
M8,37.06012128,33.95087459,42.65253553,16.16259893,31.23215791,35.85919035,17.27441789,26.48699676,31.95173444,40.63020263,43.5530032,12.97834641,21.90064803,50.168193,53.05211207,47.47634677,39.85254913,22.35055964,22.77408186,39.39950258,39.48898417,,,,,,,,,,,,,,,,,,,,
M37,46.69323697,25.98184994,25.04745988,25.00937557,31.72020321,33.15914854,48.9104355,73.24866952,30.72521598,35.64727572,41.00082544,27.84811724,34.38044848,32.83120564,30.54960393,18.640763,47.48000243,41.77297311,55.37007935,51.17294093,38.94768123,30.51814008,,,,,,,,,,,,,,,,,,,
M5,54.16701221,20.81947832,23.21771012,22.81363206,29.0408214,29.69889865,43.80300605,49.86456272,38.71675787,36.70861729,35.95946014,20.11214999,25.18167306,38.39649832,31.1978021,19.12051079,61.82944984,40.02225336,58.86625758,58.60230338,40.75392963,30.63460003,59.43683551,,,,,,,,,,,,,,,,,,
M14,27.82856483,38.12150173,41.90297017,24.75954225,35.91255272,38.82944651,27.40771178,26.40377859,35.52582007,36.13866971,43.07418963,19.58364447,29.07964399,47.61197236,51.8196861,48.85024525,20.21115112,14.350406,21.56061614,12.18566635,41.17140451,46.37343766,31.14742282,22.46393048,,,,,,,,,,,,,,,,,
M24,24.16413199,33.59273763,23.5154249,39.54655749,39.58035514,35.9023253,41.89745245,31.41833948,42.99377937,40.51246112,39.25925323,43.10880961,41.99860184,34.57157757,32.46903038,30.12499875,19.89040428,27.59598684,41.30323834,14.60037066,37.47415703,20.89465777,36.91036257,30.71811775,34.68690376,,,,,,,,,,,,,,,,
M26,53.14740115,19.98973342,25.6668596,23.29759063,26.73274272,28.17635154,41.40576243,55.39298025,37.21151682,35.66712319,43.00573437,23.4470149,28.62498298,42.09674006,37.27039262,19.39554222,64.86439722,43.4374224,53.75981811,66.20551424,44.41564512,33.16734822,65.59359668,73.67553542,23.12328551,32.42171479,,,,,,,,,,,,,,,
