ID,SH
M10,0.8744
M12,0.9872
M14,0.9182
M15,0.959
M16,0.9763
M17,1.005
M18,1.0697
M19,0.9026
M2,1.1707
M20,1.0911
M21,0.8662
M23,0.9549
M24,1.0436
M25,0.9389
M26,0.9763
M27,1.0391
M28,0.9732
M29,1.1
M3,1.1
M30,1.0119
M31,0.9219
M33,1.0436
M35,0.8461
M36,1.1224
M37,1.0154
M38,0.9872
M39,0.9929
M4,0.9872
M40,0.9031
M41,1.0154
M43,0.7905
M44,1.0436
M45,0.9252
M46,1.1863
M47,0.9159
M48,1.1235
M5,0.959
M6,1.068
M7,0.9471
M8,0.8744
M9,0.983
P10,0.9795
P12,1.0104
P14,0.9541
P15,0.9474
P16,0.8845
P17,1.0436
P18,0.959
P19,0.959
P2,0.9574
P20,1.005
P21,0.9629
P23,1.1282
P24,1.0705
P25,0.9593
P26,1.0697
P27,1.1
P28,0.8179
P29,1.1
P3,0.959
P30,0.9918
P31,1.1149
P33,1.086
P35,1.0623
P36,1.0436
P37,1.0563
P38,1.0436
P39,1.0141
P4,0.9026
P40,0.9872
P41,0.959
P43,0.9541
P44,1.0718
P45,0.959
P46,1.0436
P47,1.0955
P48,1.0154
P5,0.959
P6,1.1282
P7,1.0624
P8,1.0154
P9,0.9308
