Ind1,Ind2,QG
M36,P36,0.4946
M36,M38,0.2238
M36,P38,0.1656
M36,M39,0.1431
M36,P39,0.0993
M36,M2,0.1194
M36,P2,-0.0149
M36,M3,0.0755
M36,P3,0.1125
M36,M4,0.0709
M36,P4,0.0385
M36,M5,0.1392
M36,P5,0.1945
M36,M9,0.0158
M36,P9,0.1026
M36,M15,-0.0249
M36,P15,0.0427
M36,M19,0.1758
M36,P19,0.1138
M36,M26,0.2330
M36,P26,0.0251
M36,M27,0.1157
M36,P27,0.1132
M36,M28,0.1138
M36,P28,0.1896
M36,M29,0.1560
M36,P29,0.1428
M36,M37,0.1251
M36,P37,0.1553
M36,M40,0.1812
M36,P40,0.0888
M36,M41,0.0566
M36,P41,0.1725
M36,M43,0.0674
M36,P43,0.1756
M36,M44,0.1958
M36,P44,0.1539
M36,M45,0.1193
M36,P45,0.0648
M36,M46,0.1022
M36,P46,0.0738
M36,M47,0.2463
M36,P47,0.1274
M36,M48,0.2078
M36,P48,0.1490
M36,M6,0.1155
M36,P6,0.0664
M36,M7,-0.0068
M36,P7,0.0186
M36,M8,0.0176
M36,P8,0.0088
M36,M10,0.0624
M36,P10,-0.0572
M36,M12,-0.0262
M36,P12,0.1153
M36,M14,-0.0637
M36,P14,0.0020
M36,M16,0.1155
M36,P16,0.2787
M36,M17,0.2389
M36,P17,0.1274
M36,M18,0.1374
M36,P18,-0.0209
M36,M20,0.0580
M36,P20,0.1082
M36,M21,0.1717
M36,P21,0.0995
M36,M23,-0.0275
M36,P23,0.0675
M36,M24,0.0870
M36,P24,0.1905
M36,M25,0.1674
M36,P25,0.2582
M36,M30,0.1018
M36,P30,-0.0081
M36,M31,0.0200
M36,P31,-0.0117
M36,M33,0.0578
M36,P33,0.1222
M36,M35,-0.0286
M36,P35,-0.0001
P36,M38,0.1782
P36,P38,0.0518
P36,M39,0.1684
P36,P39,0.0460
P36,M2,0.1640
P36,P2,0.1262
P36,M3,0.0116
P36,P3,0.0876
P36,M4,0.2513
P36,P4,0.0371
P36,M5,0.1143
P36,P5,0.2275
P36,M9,-0.0929
P36,P9,-0.0455
P36,M15,-0.0074
P36,P15,0.1026
P36,M19,0.2260
P36,P19,0.0772
P36,M26,0.0481
P36,P26,0.1004
P36,M27,0.0171
P36,P27,0.0867
P36,M28,0.1559
P36,P28,0.1266
P36,M29,0.1967
P36,P29,0.1389
P36,M37,0.0522
P36,P37,0.0665
P36,M40,0.2794
P36,P40,0.1614
P36,M41,0.0961
P36,P41,0.1435
P36,M43,0.2229
P36,P43,0.1109
P36,M44,0.1987
P36,P44,0.1955
P36,M45,0.0536
P36,P45,0.1685
P36,M46,0.0967
P36,P46,0.0158
P36,M47,0.2403
P36,P47,0.1297
P36,M48,0.2056
P36,P48,0.2035
P36,M6,0.2506
P36,P6,0.0744
P36,M7,0.0154
P36,P7,0.2996
P36,M8,0.0460
P36,P8,0.0048
P36,M10,0.0089
P36,P10,-0.0322
P36,M12,0.0439
P36,P12,0.1836
