Individual 1,Individual 2,Group,Queller&Goodnight (925)
M36,P36,MMPP,0.4908
M36,M38,MMMM,0.1773
M36,P38,MMPP,0.2038
M36,M39,MMMM,0.1047
M36,P39,MMPP,0.0707
M36,M2,MMMM,0.1431
M36,P2,MMPP,-0.0684
M36,M3,MMMM,0.0108
M36,P3,MMPP,0.0616
M36,M4,MMMM,0.0474
M36,P4,MMPP,0.0501
M36,M5,MMMM,0.1708
M36,P5,MMPP,0.2126
M36,M9,MMMM,0.0693
M36,P9,MMPP,0.131
M36,M15,MMMM,0.0329
M36,P15,MMPP,-0.0053
M36,M19,MMMM,0.173
M36,P19,MMPP,0.1085
M36,M26,MMMM,0.2277
M36,P26,MMPP,0.0545
M36,M27,MMMM,0.1002
M36,P27,MMPP,0.1095
M36,M28,MMMM,0.1429
M36,P28,MMPP,0.1501
M36,M29,MMMM,0.1019
M36,P29,MMPP,0.0893
M36,M37,MMMM,0.1055
M36,P37,MMPP,0.1435
M36,M40,MMMM,0.1142
M36,P40,MMPP,0.0658
M36,M41,MMMM,0.0706
M36,P41,MMPP,0.1568
M36,M43,MMMM,-0.0021
M36,P43,MMPP,0.1895
M36,M44,MMMM,0.2053
M36,P44,MMPP,0.1511
M36,M45,MMMM,0.1028
M36,P45,MMPP,0.0669
M36,M46,MMMM,0.0668
M36,P46,MMPP,0.0232
M36,M47,MMMM,0.2095
M36,P47,MMPP,0.0441
M36,M48,MMMM,0.2255
M36,P48,MMPP,0.1336
M36,M6,MMMM,0.1094
M36,P6,MMPP,0.0748
M36,M7,MMMM,0.0324
M36,P7,MMPP,0.0237
M36,M8,MMMM,-0.002
M36,P8,MMPP,0.0082
M36,M10,MMMM,0.0947
M36,P10,MMPP,0.0222
M36,M11,MMMM,0.1335
M36,P11,MMPP,0.1545
M36,M12,MMMM,-0.0042
M36,P12,MMPP,0.1205
M36,M13,MMMM,0.1228
M36,P13,MMPP,0.1293
M36,M14,MMMM,-0.0702
M36,P14,MMPP,-0.1244
M36,M16,MMMM,0.0606
M36,P16,MMPP,0.2484
M36,M17,MMMM,0.2357
M36,P17,MMPP,0.0838
M36,M18,MMMM,0.1116
M36,P18,MMPP,0.0342
M36,M20,MMMM,-0.0264
M36,P20,MMPP,0.0841
M36,M21,MMMM,0.14
M36,P21,MMPP,0.0964
M36,M23,MMMM,-0.0224
M36,P23,MMPP,0.0687
M36,M24,MMMM,0.0566
M36,P24,MMPP,0.1896
M36,M25,MMMM,0.1738
M36,P25,MMPP,0.2745
M36,M30,MMMM,0.0675
M36,P30,MMPP,-0.0136
M36,M31,MMMM,0.0142
M36,P31,MMPP,-0.0044
M36,M33,MMMM,0.0409
M36,P33,MMPP,0.0747
M36,M35,MMMM,-0.0454
M36,P35,MMPP,-0.0274
P36,M38,PPMM,0.1801
P36,P38,PPPP,0.0498
P36,M39,PPMM,0.1688
P36,P39,PPPP,0.0586
P36,M2,PPMM,0.1425
P36,P2,PPPP,0.007
P36,M3,PPMM,-0.0263
P36,P3,PPPP,0.0717
P36,M4,PPMM,0.2392
P36,P4,PPPP,-0.026
P36,M5,PPMM,0.0847
P36,P5,PPPP,0.1709
P36,M9,PPMM,-0.0571
P36,P9,PPPP,0.041
P36,M15,PPMM,0.0508
P36,P15,PPPP,0.0558
P36,M19,PPMM,0.1556
P36,P19,PPPP,0.0424
P36,M26,PPMM,0.0859
P36,P26,PPPP,0.0791
P36,M27,PPMM,0.0495
P36,P27,PPPP,-0.0033
P36,M28,PPMM,0.178
P36,P28,PPPP,0.0897
P36,M29,PPMM,0.2183
P36,P29,PPPP,0.1746
P36,M37,PPMM,0.03
P36,P37,PPPP,0.101
P36,M40,PPMM,0.2761
P36,P40,PPPP,0.1093
P36,M41,PPMM,0.0456
P36,P41,PPPP,0.069
P36,M43,PPMM,0.1526
P36,P43,PPPP,0.0911
P36,M44,PPMM,0.2101
P36,P44,PPPP,0.2292
P36,M45,PPMM,0.0431
P36,P45,PPPP,0.1626
P36,M46,PPMM,0.141
P36,P46,PPPP,-0.0524
P36,M47,PPMM,0.2773
P36,P47,PPPP,0.0443
P36,M48,PPMM,0.2032
P36,P48,PPPP,0.1199
P36,M6,PPMM,0.2635
P36,P6,PPPP,0.1449
P36,M7,PPMM,-0.0055
P36,P7,PPPP,0.3102
P36,M8,PPMM,0.0552
P36,P8,PPPP,0.0606
P36,M10,PPMM,0.0212
P36,P10,PPPP,0.0101
P36,M11,PPMM,0.1427
P36,P11,PPPP,0.2077
P36,M12,PPMM,0.0497
P36,P12,PPPP,0.168
P36,M13,PPMM,0.0658
P36,P13,PPPP,0.1583
P36,M14,PPMM,0.0448
P36,P14,PPPP,0.026
P36,M16,PPMM,0.1116
P36,P16,PPPP,0.2123
P36,M17,PPMM,0.1763
P36,P17,PPPP,0.135
P36,M18,PPMM,0.2318
P36,P18,PPPP,0.2108
