Group 44
Average similarity: 56.24

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
26.7885915492958	    2.65	  7.33	#######	   13.03	13.03
19.7226829268293	    2.46	  6.76	#######	   12.02	25.05
8.90476190476191	    2.50	  6.36	#######	   11.31	36.36
19.5253846153846	    2.05	  5.50	#######	    9.77	46.14
30.8036538461538	    1.91	  5.19	#######	    9.22	55.36
21.3482051282051	    1.14	  3.11	#######	    5.53	60.89
21.1221428571429	    1.47	  3.11	#######	    5.52	66.41
9.75530612244898	    1.23	  2.90	#######	    5.15	71.56
21.405	    1.17	  2.70	#######	    4.80	76.35
13.7290677966102	    1.39	  2.66	#######	    4.72	81.08
17.325	    0.98	  2.40	#######	    4.27	85.35
14.6988	    0.93	  2.21	#######	    3.93	89.28
15.4576923076923	    0.80	  2.20	#######	    3.91	93.19

Group 16
Average similarity: 40.38

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
15.4576923076923	    2.28	  4.23	#######	   10.48	10.48
19.7226829268293	    2.16	  3.59	#######	    8.89	19.37
37.5636363636364	    1.50	  3.08	#######	    7.62	26.99
15.538	    1.66	  2.85	#######	    7.05	34.04
20.5108620689655	    1.39	  2.68	#######	    6.62	40.67
21.5752941176471	    1.44	  2.62	#######	    6.49	47.15
15.6227272727273	    1.52	  2.56	#######	    6.35	53.50
14.6988	    1.04	  2.31	#######	    5.71	59.21
8.47375	    1.17	  2.24	#######	    5.55	64.76
17.6253333333333	    1.14	  2.16	#######	    5.34	70.10
20.8027027027027	    0.86	  1.89	#######	    4.69	74.79
17.4094262295082	    1.02	  1.82	#######	    4.51	79.29
19.2089189189189	    0.93	  1.72	#######	    4.25	83.54
19.6651428571429	    1.17	  1.68	#######	    4.15	87.69
16.2865	    0.69	  1.46	#######	    3.61	91.31

Group 29
Average similarity: 57.29

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
19.7226829268293	    3.67	 10.22	#######	   17.84	17.84
19.5253846153846	    1.97	  5.61	#######	    9.80	27.63
21.405	    1.64	  4.50	#######	    7.85	35.49
26.7885915492958	    2.25	  4.27	#######	    7.45	42.94
21.3482051282051	    1.57	  4.20	#######	    7.33	50.27
22.768947368421	    1.33	  3.77	#######	    6.57	56.84
30.8036538461538	    1.22	  3.06	#######	    5.34	62.19
19.6197619047619	    0.89	  2.41	#######	    4.20	66.39
24.6694736842105	    0.61	  1.59	#######	    2.77	69.16
22.9871428571429	    0.50	  1.36	#######	    2.38	71.53
21.4994285714286	    0.47	  1.35	#######	    2.35	73.88
34.2623076923077	    0.58	  1.33	#######	    2.32	76.20
19.9726923076923	    0.52	  1.20	#######	    2.09	78.30
27.6873684210526	    0.41	  1.14	#######	    1.99	80.29
21.2123809523809	    0.47	  1.10	#######	    1.92	82.21
20.361875	    0.36	  0.94	#######	    1.64	83.85
13.7290677966102	    0.32	  0.86	#######	    1.49	85.35
