Group 44,,,,,
Average similarity: 56.24,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
26.78859155,2.65,7.33,#######,13.03,13.03
19.72268293,2.46,6.76,#######,12.02,25.05
8.904761905,2.5,6.36,#######,11.31,36.36
19.52538462,2.05,5.5,#######,9.77,46.14
30.80365385,1.91,5.19,#######,9.22,55.36
21.34820513,1.14,3.11,#######,5.53,60.89
21.12214286,1.47,3.11,#######,5.52,66.41
9.755306122,1.23,2.9,#######,5.15,71.56
21.405,1.17,2.7,#######,4.8,76.35
13.7290678,1.39,2.66,#######,4.72,81.08
17.325,0.98,2.4,#######,4.27,85.35
14.6988,0.93,2.21,#######,3.93,89.28
15.45769231,0.8,2.2,#######,3.91,93.19
,,,,,
Group 29,,,,,
Average similarity: 57.29,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,3.67,10.22,#######,17.84,17.84
19.52538462,1.97,5.61,#######,9.8,27.63
21.405,1.64,4.5,#######,7.85,35.49
26.78859155,2.25,4.27,#######,7.45,42.94
21.34820513,1.57,4.2,#######,7.33,50.27
22.76894737,1.33,3.77,#######,6.57,56.84
30.80365385,1.22,3.06,#######,5.34,62.19
19.6197619,0.89,2.41,#######,4.2,66.39
24.66947368,0.61,1.59,#######,2.77,69.16
22.98714286,0.5,1.36,#######,2.38,71.53
21.49942857,0.47,1.35,#######,2.35,73.88
34.26230769,0.58,1.33,#######,2.32,76.2
19.97269231,0.52,1.2,#######,2.09,78.3
27.68736842,0.41,1.14,#######,1.99,80.29
21.21238095,0.47,1.1,#######,1.92,82.21
20.361875,0.36,0.94,#######,1.64,83.85
13.7290678,0.32,0.86,#######,1.49,85.35
22.55076923,0.37,0.84,#######,1.47,86.81
20.45466667,0.36,0.77,#######,1.35,88.16
23.07416667,0.31,0.76,#######,1.32,89.49
14.05666667,0.28,0.7,#######,1.21,90.7
,,,,,
Group 48,,,,,
Average similarity: 44.58,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
26.78859155,3.41,8.07,#######,18.11,18.11
19.72268293,2.48,6.69,#######,15.02,33.13
30.80365385,1.75,3.38,#######,7.58,40.71
21.34820513,1.1,3.11,#######,6.99,47.7
21.405,1.03,2.94,#######,6.58,54.29
22.76894737,0.94,2.68,#######,6.01,60.29
17.40942623,0.84,1.64,#######,3.68,63.97
19.86137931,0.7,1.63,#######,3.66,67.63
21.21238095,0.55,1.55,#######,3.48,71.11
