"","locnum","cormean","corsd","se"
"V1",1,0.0210038727643071,0.0721694484259524,0.0114109917252032
"V2",2,0.0281360053259651,0.075224366920596,0.0118940167506655
"V3",3,0.0341021339324393,0.0792978581509095,0.0125380922664911
"V4",4,0.0436569265032154,0.0848637845467004,0.0134181425014687
"V5",5,0.0483251527471407,0.0846784981922495,0.013388846156498
"V6",6,0.0531040535561938,0.0867745157463083,0.013720255630824
"V7",7,0.0591039388956046,0.0861553151716474,0.0136223514236033
"V8",8,0.0635518016532135,0.0886048048166015,0.0140096497427559
"V9",9,0.0736667610889659,0.0888725972085314,0.0140519914376841
"V10",10,0.0750389687623488,0.0874367128455769,0.0138249581855063
"V11",11,0.0851129983093497,0.0905218668498588,0.0143127638648022
"V12",12,0.0869677273762386,0.0878928427545004,0.0138970786565624
"V13",13,0.0878440695800331,0.085287567816676,0.0134851485198385
"V14",14,0.0895777247674544,0.0838196793121824,0.0132530549685696
"V15",15,0.0907572818762105,0.0827685586074737,0.0130868581924376
"V16",16,0.103835462463202,0.0855751547871389,0.013530620012441
"V17",17,0.104366004142709,0.0832519259319389,0.0131632852770282
"V18",18,0.107573828016561,0.0812552158494827,0.0128475776926489
"V19",19,0.110612187934917,0.0821469103337405,0.0129885669700121
"V20",20,0.114621437200217,0.0807186687092745,0.0127627421408936
"V21",21,0.11657201689676,0.0780604314578792,0.0123424379271178
"V22",22,0.119174140775607,0.076652763319292,0.0121198660517386
"V23",23,0.12090319062999,0.0759215211783934,0.0120042465174217
"V24",24,0.125198269780893,0.074202508731255,0.0117324467844648
"V25",25,0.132479647170516,0.0722428890708829,0.0114226037107438
"V26",26,0.132175610972503,0.0711064785117852,0.0112429214245531
"V27",27,0.128939623707808,0.0708169600567555,0.0111971445374257
"V28",28,0.138257217266157,0.0647229568148412,0.0102335980217808
"V29",29,0.137754512982291,0.0649374321174185,0.0102675095446807
"V30",30,0.142008891042498,0.0616069358146145,0.00974091184189912
"V31",31,0.146487966803615,0.0576692938562882,0.00911831598197129
"V32",32,0.148908026811436,0.0552469924161374,0.00873531649545216
"V33",33,0.148632751468076,0.05188062780325,0.00820304751488639
"V34",34,0.150544180610703,0.0492309654823277,0.00778409911666427
"V35",35,0.154020156440632,0.0464408799041303,0.00734294785196969
"V36",36,0.155391795989553,0.0423257875663345,0.00669229462350261
"V37",37,0.158330975432471,0.036453306033303,0.00576377376541976
"V38",38,0.159292758366333,0.0335050406696478,0.00529761208063301
"V39",39,0.160029887558878,0.028303881697133,0.00447523663934462
"V40",40,0.161566782234359,0.0209914908492817,0.00331904612831563
