"","locnum","cormean","corsd","se"
"V1",1,0.416802,0.294531180060883,0.046569468546478
"V2",2,0.403232,0.295954645986445,0.0467945382712988
"V3",3,0.378982,0.301801129088408,0.0477189484164933
"V4",4,0.357952,0.317144432203618,0.0501449376502144
"V5",5,0.32965,0.297570610168531,0.047050044642931
"V6",6,0.320164,0.292776716142234,0.0462920634437022
"V7",7,0.278492,0.269882008539039,0.0426720923242188
"V8",8,0.275498,0.291675379574794,0.0461179268425252
"V9",9,0.252588,0.262494374891538,0.0415040048819687
"V10",10,0.247514,0.27551915980352,0.0435634041997517
"V11",11,0.192584,0.236197997307055,0.0373461825130306
"V12",12,0.19694,0.243282010583082,0.0384662633593863
"V13",13,0.192492,0.221018098661335,0.0349460297944816
"V14",14,0.18676,0.224179900203632,0.0354459545136362
"V15",15,0.187416,0.219554775723704,0.0347146581227175
"V16",16,0.161154,0.217661239347359,0.0344152637336359
"V17",17,0.149536,0.212000493212267,0.0335202211814915
"V18",18,0.135212,0.199805865338451,0.0315920812165198
"V19",19,0.13305,0.20041421910243,0.0316882703923853
"V20",20,0.114806,0.181047731070709,0.0286261597694538
"V21",21,0.106146,0.162906481539118,0.0257577763633892
"V22",22,0.106072,0.172761360817699,0.0273159695927049
"V23",23,0.092368,0.155416437722103,0.0245734964515779
"V24",24,0.081044,0.141724117619515,0.0224085505527634
"V25",25,0.074502,0.142300839962764,0.0224997383618722
"V26",26,0.068298,0.134767435678798,0.021308602558262
"V27",27,0.08137,0.141726843244999,0.0224089815119922
"V28",28,0.051402,0.104937085817931,0.0165920101102608
"V29",29,0.061088,0.123844560665428,0.0195815443762825
"V30",30,0.049886,0.101576614539187,0.0160606729476402
"V31",31,0.04147,0.0891865324763235,0.014101628961888
"V32",32,0.042216,0.0994114007405307,0.0157183225863913
"V33",33,0.03352,0.0842393383892854,0.0133194088947901
"V34",34,0.028134,0.0692251709465941,0.0109454605802876
"V35",35,0.02269,0.0608757555618857,0.00962530209296111
"V36",36,0.022016,0.0631530550387029,0.00998537475601372
"V37",37,0.012948,0.040442904854946,0.00639458472675555
"V38",38,0.012482,0.0407351984011071,0.00644080039431738
"V39",39,0.009568,0.0317347059088033,0.00501769757737111
"V40",40,0.007286,0.0252658847829981,0.00399488715068316
