"","locnum","cormean","corsd","se"
"V1",1,0.0222155369796511,0.07700460471539,0.0121754970610787
"V2",2,0.0281963085863046,0.0741009332038761,0.0117163862834123
"V3",3,0.0332628337207255,0.0771439060064762,0.0121975225291204
"V4",4,0.0459428153006506,0.0851632393855878,0.0134654904688308
"V5",5,0.0490265480670478,0.0839943302251222,0.0132806697025855
"V6",6,0.0524350960274431,0.0851449450844579,0.0134625978858422
"V7",7,0.0586279360585406,0.0886234005324574,0.0140125899835972
"V8",8,0.0619419591162956,0.0879377540833737,0.0139041797611617
"V9",9,0.0771944342238165,0.0894485360499618,0.014143055364278
"V10",10,0.072944257720869,0.0829247344774187,0.0131115517656668
"V11",11,0.0795978064584349,0.089986899740959,0.0142281781379323
"V12",12,0.0865842759111093,0.0880949435289491,0.0139290335947695
"V13",13,0.0885868364640297,0.0851893752411693,0.0134696229104426
"V14",14,0.0929762125662668,0.0856312665832408,0.0135394920664053
"V15",15,0.0963291434859024,0.0839750827300605,0.0132776264064031
"V16",16,0.106445170162678,0.0847099942269948,0.0133938261168509
"V17",17,0.10412925275881,0.0827647669431511,0.0130862586776685
"V18",18,0.106209089991892,0.0810695312437163,0.0128182183786163
"V19",19,0.110077166990399,0.0814065635660299,0.0128715078677967
"V20",20,0.11041394191388,0.0805242626034719,0.0127320038366246
"V21",21,0.117331850504981,0.0798853217687624,0.012630978420236
"V22",22,0.119295454356782,0.0750102413982392,0.0118601605328745
"V23",23,0.119095216566361,0.076911083040996,0.0121607099859948
"V24",24,0.121165458569311,0.0757435209713935,0.0119761022135166
"V25",25,0.130817178908577,0.0735255662694559,0.0116254127832565
"V26",26,0.125765897747853,0.0718888732028871,0.0113666288872084
"V27",27,0.129964191605997,0.0708116802730649,0.0111963097303249
"V28",28,0.136831976858695,0.0667356949886362,0.0105518398699188
"V29",29,0.138221796137762,0.0644220762414487,0.0101860246259999
"V30",30,0.142845242352365,0.0609825879420932,0.00964219377542675
"V31",31,0.147420417792573,0.0573681123069004,0.0090706949977071
"V32",32,0.149148308220934,0.0539017287707362,0.00852261163680771
"V33",33,0.149031908953154,0.0521881241497504,0.00825166695624248
"V34",34,0.150178494071596,0.0493296660074465,0.00779970503994577
"V35",35,0.152657213136088,0.0473952719847153,0.00749385048974347
"V36",36,0.15602253793675,0.0417128225200172,0.00659537633988094
"V37",37,0.157566530515693,0.0383556997696982,0.0060645686260921
"V38",38,0.158855070012602,0.0339749111380635,0.00537190512490521
"V39",39,0.160719771261483,0.028262558898279,0.00446870293116103
"V40",40,0.16315956053665,0.0179499278876662,0.00283813279804001
