,M33,M43,M23,M36,M37,M5,P10,M2,P25,M17,P26,M10,P9,M31,M48,P35,P17,P31,P36,P29,P19,P27,P6,M35,M6,P45,M40,P15,P33,P39,P48,M45,M29,M18,M44,P2,P38,M15,P12,P20,M7,P24,P43,P41,P16,P37,M4,P3,P8,M30,M26,P7,M39,P21,P4,M28,P18,P47,P5,P46,M27,M46,M20,M47,M16,P30,M38,P40,P28,M24,M3,M19,P44,M25,M41,M14,M8,P23,M21,P14,M9,M12
M33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M43,14.90343819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M23,24.14243656,9.203076643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M36,6.656549538,13.40909206,6.605548256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M37,16.41993627,49.80086253,13.88798013,5.300642861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M5,15.76890667,45.26342129,14.84516438,13.37488059,34.62958318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P10,9.930506543,20.48907686,0.147485794,5.803245308,38.87408427,11.27966199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,25.61318121,4.418474421,55.8704592,4.787544849,7.475843512,13.76117267,0.156149488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P25,10.24696384,42.86195408,0.141673171,13.13921508,46.72734419,37.21804751,47.47505937,0.14964896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M17,9.124230441,26.99924836,3.49539457,24.82978579,10.3576101,11.60426037,12.4940536,0.136391579,33.13464605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P26,10.66937787,21.33124772,0.12562706,0.423306246,36.3857425,20.44581303,25.13516669,0.131858729,37.31181852,19.11324335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10,14.50376569,33.80258208,1.84873807,32.34086028,18.51614671,30.80730067,19.23240326,0.157737045,32.73528458,38.53475395,7.787055523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9,4.738412706,18.8218201,26.75296917,9.114628136,28.31450682,27.17967156,11.24115136,36.93264606,25.95680097,8.987718998,20.70092525,14.38013013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M31,15.24160155,47.40758379,19.08722116,23.05609564,28.8398346,26.66391543,31.61458851,16.1003208,45.0277036,35.96604077,13.23194021,33.68952696,19.9857969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M48,34.34377378,13.41442819,22.37674433,7.443547739,26.04346216,17.38004016,18.5839062,27.62580769,10.61690085,19.04283676,27.49271951,11.6412783,2.095859972,17.45549598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35,27.58111634,22.90067207,21.11245182,10.04937888,33.44376528,21.60652384,23.98333023,22.54775197,54.0519704,23.78659843,29.62288582,15.44858243,31.60955877,41.83073928,14.83303712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17,20.53905182,17.00661592,3.483738192,10.29385319,16.00531446,4.71179838,26.59960723,0.135913487,28.46018463,59.26473112,23.13709346,18.45547999,8.959232523,29.2847205,16.81661172,37.76863679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31,24.09535264,35.38941843,18.33348029,20.41125909,23.26066188,20.90427402,20.11314697,23.5589261,28.73739683,27.04552371,21.52514039,25.07576444,30.21758889,62.3212405,22.08194447,47.10188676,34.62801575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P36,21.71860196,8.187664813,12.50592117,8.373763854,12.73998999,7.745854074,25.71889314,8.923613884,25.4898938,18.35946452,16.4488832,11.53591031,9.899884714,28.07736908,9.561872153,42.17678752,28.53194952,33.04472071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P29,23.98804197,8.489630278,26.18080362,9.233456878,26.33048589,23.62482101,13.83147039,16.14034454,16.50892533,0.132436136,33.25733116,8.604834706,21.55556571,5.564892206,26.37072097,18.67854228,5.919744096,13.34006286,12.90629358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P19,63.72150447,5.290573723,42.34966043,10.96289502,11.21572002,23.30887568,0.190973951,38.45649943,0.181340049,8.468755875,0.155858632,13.2374644,9.343181382,11.20916635,37.517952,24.46595795,11.76239443,22.20427954,18.16422661,27.74230189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P27,17.84678198,28.17617241,10.76908672,8.899642671,44.43430131,30.46056707,26.48597874,12.61572154,38.90115049,9.068267856,39.96839958,19.99087931,30.56266288,26.44893066,27.43462054,32.6722984,12.92607707,34.39018897,16.49561906,23.48415637,17.63388402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6,23.4699649,19.26924685,5.261908278,11.79303944,20.84527166,23.5430548,33.77988139,12.99003884,38.62860751,17.00758491,19.74050331,20.01791373,22.65650485,30.30505431,14.06769601,32.40541456,24.75898166,33.29307811,23.07623562,0.149199616,11.68864236,38.37175118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M35,18.85678918,29.95642551,10.92812346,8.156847131,45.27294109,23.21760236,41.05303166,11.7928727,67.00729927,26.22124424,28.07727638,20.06103044,28.71862055,38.70890291,13.02394211,71.03326537,33.9912696,37.67273897,34.57693224,10.84231702,15.52569734,42.50635598,36.17916528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6,24.42633951,9.036208924,49.45258429,5.825678001,12.66725134,13.31678867,0.132688639,34.20790432,0.127965182,10.83661346,12.00596268,4.23215043,25.27526779,12.61993823,21.4287094,16.42098816,10.8036942,25.34943774,10.49179264,25.48275393,36.25538194,27.99196398,12.02956487,16.07702212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P45,32.02229513,19.54318051,19.66005375,15.96473235,23.28548714,12.72350509,18.72838144,15.85206351,19.04920819,8.882111969,20.95059975,28.27539725,19.1791198,21.77187371,10.58465417,34.80285631,28.05615191,32.21773718,24.58618159,12.93524304,23.86708416,22.09009105,27.67760013,30.842293,18.51013878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M40,4.872748204,15.87711133,8.601931772,23.43288727,24.71063509,16.90692853,10.46161226,8.972340823,17.17459701,1.366678047,12.64484508,12.08047498,20.62258311,10.47793009,10.03691122,12.8986585,3.641956115,16.61999233,3.68779442,13.95202071,6.372030291,17.63334232,9.736169835,15.21687916,6.713914807,14.89451698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P15,13.27474108,32.56312475,10.77582612,1.491993821,48.0935081,21.78743538,32.18913394,6.352824536,46.58710199,0.153841749,51.69094613,11.3112721,27.488889,24.43137851,15.47526781,36.652816,13.35215323,28.07620483,13.33463951,46.82206882,0.164934228,46.71220569,18.49516465,44.03008403,21.57945353,23.68226733,17.56743899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P33,34.25179044,14.68431403,43.74619546,12.22215379,19.72135967,18.84334689,10.91183626,30.5499276,10.34163792,6.111257516,6.447418124,14.80754409,14.33752262,24.22803402,20.55043437,40.82164688,18.89538553,36.40917852,24.26228363,27.25633138,37.56017808,18.87940553,17.8007073,28.00320394,37.01159599,30.64344099,12.62694514,24.22405329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P39,26.36988487,20.0460551,12.75768215,27.50258845,22.48370736,22.41584774,24.24998281,13.50757332,25.16182864,19.45091698,9.209529549,34.75576948,19.26427632,35.25606102,20.97965716,36.68794636,29.05554252,41.46652881,28.24532725,11.60173572,27.01767424,26.03359174,39.37265142,32.79140627,14.23899197,48.28326201,17.34733257,15.31207358,33.92286006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
