Volatile,Av.Abund,Av.Sim,Contrib%,Cum.%
31.4190566,2.5,5.09,9.73,9.73
26.78810811,1.9,3.96,7.57,17.29
15.4573494,2.04,3.31,6.33,23.62
19.72264368,1.71,3.1,5.92,29.54
33.6159434,1.23,2.53,4.84,34.38
20.51714286,0.95,1.99,3.8,38.17
21.5754717,1.01,1.97,3.77,41.95
17.62483871,1.08,1.93,3.69,45.64
20.80285714,1.05,1.92,3.66,49.3
24.42878378,1.01,1.78,3.41,52.7
17.39323529,0.83,1.52,2.91,55.62
30.79641026,0.84,1.42,2.71,58.32
19.21025,0.82,1.37,2.62,60.95
21.12938462,0.77,1.34,2.57,63.52
19.66487179,0.81,1.26,2.41,65.93
14.6987037,0.72,1.12,2.14,68.07
22.72692308,0.6,1.01,1.93,70
21.70509091,0.52,0.95,1.81,71.81
18.70642857,0.47,0.92,1.76,73.58
18.22447368,0.44,0.9,1.73,75.3
16.28636364,0.65,0.87,1.66,76.96
19.97275862,0.49,0.83,1.59,78.55
27.68736842,0.49,0.82,1.56,80.11
37.04571429,0.38,0.8,1.54,81.65
23.04571429,0.48,0.76,1.46,83.11
20.56875,0.36,0.74,1.41,84.52
22.77,0.43,0.71,1.36,85.88
18.005,0.39,0.66,1.26,87.14
28.00454545,0.29,0.54,1.03,88.17
15.74189873,0.38,0.53,1.01,89.18
23.00375,0.33,0.51,0.98,90.16
26.78810811,3.22,7.84,13.22,13.22
31.4190566,2.81,7.72,13.02,26.24
19.40104478,2.16,5.83,9.83,36.07
8.860384615,1.84,5.31,8.96,45.02
10.1842623,1.04,2.96,4.99,50.01
19.72264368,1.33,2.91,4.9,54.91
12.9677027,0.97,2.54,4.28,59.19
36.10466667,0.82,2.09,3.52,62.71
19.52512821,0.71,1.79,3.01,65.73
9.757314815,0.59,1.67,2.82,68.55
13.73048387,0.64,1.4,2.35,70.9
17.42294118,0.48,1.24,2.09,72.99
21.35028571,0.46,1.18,1.98,74.97
15.50897436,0.46,1.15,1.95,76.92
14.6987037,0.41,1.13,1.91,78.83
20.48777778,0.36,1.03,1.74,80.57
13.176,0.37,0.99,1.66,82.23
19.62022727,0.33,0.92,1.56,83.79
12.13814815,0.35,0.89,1.5,85.28
