,M33,M43,M23,M36,M37,M5,P10,M2,P25,M17,P26,M10,P9,M31,M48,P35,P17,P31,P36,P29,P19,P27,P6,M35,M6,P45,M40,P15,P33,P39,P48,M45,M29,M18,M44,P2,P38,M15,P12,P20,M7,P24,P43,P41,P16,P37,M4,P3,P8,M30,M26,P7,M39,P21,P4,M28,P18,P47,P5,P46,M27,M46,M20,M47,M16,P30,M38,P40,P28,M24,M3,M19,P44,M25,M41,M14,M8,P23,M21,P14,M9,M12
M33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M43,38.26086957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M23,46.37681159,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M36,39.57219251,31.03448276,37.56345178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M37,44.8,73.21428571,38.51851852,34.7826087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M5,39.65517241,67.96116505,31.74603175,33.14285714,67.25663717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P10,37.25490196,56.17977528,25,27.32919255,52.52525253,48.88888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,38.65546218,24.52830189,66.66666667,30.33707865,34.48275862,29.90654206,23.65591398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P25,32.96703297,43.58974359,23.76237624,20,38.63636364,37.97468354,58.46153846,19.51219512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M17,32.96703297,38.46153846,19.8019802,26.66666667,34.09090909,35.44303797,46.15384615,14.63414634,37.03703704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P26,23.15789474,41.46341463,20.95238095,18.18181818,43.47826087,45.78313253,40.57971014,20.93023256,41.37931034,27.5862069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10,39.28571429,54.54545455,24.59016393,37.42690058,51.37614679,60,46.51162791,17.47572816,42.66666667,42.66666667,32.91139241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9,28.57142857,50.94339623,38.75968992,30.33707865,51.72413793,52.3364486,40.86021505,40,39.02439024,21.95121951,41.86046512,36.89320388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M31,42.46575342,55.63909774,41.02564103,49.75609756,50.34965035,49.25373134,55,36.49635036,36.69724771,40.36697248,26.54867257,50.76923077,39.41605839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M48,54.09836066,36.69724771,39.39393939,27.62430939,47.05882353,41.81818182,35.41666667,46.01769912,30.58823529,21.17647059,29.21348315,32.0754717,31.85840708,38.57142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35,41.37931034,46.60194175,33.33333333,42.28571429,46.01769912,40.38461538,53.33333333,35.51401869,45.56962025,35.44303797,26.5060241,42,48.59813084,65.67164179,36.36363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17,40.81632653,40,27.77777778,31.84713376,42.10526316,39.53488372,50,24.71910112,45.90163934,62.29508197,24.61538462,48.7804878,31.46067416,43.10344828,32.60869565,48.8372093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31,50.74626866,52.89256198,36.11111111,45.59585492,48.85496183,47.54098361,53.7037037,33.6,41.2371134,37.11340206,25.74257426,47.45762712,46.4,78.94736842,43.75,75.40983607,46.15384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
