Group 44,,,,
Average similarity: 39.33,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
8.904761905,2.5,9.33,23.74,23.74
30.80365385,1.91,7.61,19.35,43.08
21.12214286,1.47,4.56,11.59,54.67
9.755306122,1.23,4.25,10.8,65.47
13.7290678,1.39,3.9,9.91,75.38
17.325,0.98,3.52,8.96,84.34
14.6988,0.93,3.24,8.25,92.58
,,,,
Group 16,,,,
Average similarity: 34.39,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
37.56363636,1.5,4.02,11.69,11.69
15.538,1.66,3.72,10.82,22.51
15.62272727,1.52,3.35,9.74,32.25
14.6988,1.04,3.01,8.76,41.01
8.47375,1.17,2.93,8.52,49.52
17.62533333,1.14,2.82,8.19,57.71
20.8027027,0.86,2.47,7.19,64.9
17.40942623,1.02,2.38,6.91,71.82
19.20891892,0.93,2.24,6.52,78.33
19.66514286,1.17,2.19,6.37,84.71
16.2865,0.69,1.91,5.54,90.25
,,,,
Group 29,,,,
Average similarity: 41.58,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
22.76894737,1.33,5.72,13.75,13.75
30.80365385,1.22,4.65,11.17,24.92
19.6197619,0.89,3.66,8.79,33.71
24.66947368,0.61,2.41,5.79,39.5
22.98714286,0.5,2.07,4.97,44.47
21.49942857,0.47,2.04,4.91,49.38
34.26230769,0.58,2.02,4.85,54.23
19.97269231,0.52,1.82,4.38,58.61
27.68736842,0.41,1.73,4.16,62.77
21.21238095,0.47,1.67,4.02,66.79
20.361875,0.36,1.43,3.44,70.22
13.7290678,0.32,1.3,3.13,73.35
22.55076923,0.37,1.28,3.07,76.42
20.45466667,0.36,1.18,2.83,79.25
23.07416667,0.31,1.15,2.77,82.01
14.05666667,0.28,1.06,2.54,84.55
19.20891892,0.3,1.04,2.5,87.05
16.2865,0.26,0.91,2.19,89.24
20.25794118,0.23,0.88,2.12,91.37
,,,,
Group 7,,,,
Average similarity: 16.31,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%, Cum.%
9.755306122,1.67,9.53,58.41,58.41
17.62533333,1.1,6.78,41.59,100
,,,,
Group 6,,,,
Average similarity: 18.35,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%, Cum.%
17.40942623,1.8,3.88,21.17,21.17
9.755306122,1.51,3.16,17.23,38.4
16.2865,0.9,2.99,16.29,54.68
19.66514286,0.89,2.9,15.81,70.49
13.79738095,1.1,2.86,15.59,86.08
22.55076923,0.87,2.55,13.92,100
,,,,
Group 23,,,,
Average similarity: 59.10,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
15.62272727,2.5,5.15,8.72,8.72
15.538,1.79,3.68,6.22,14.94
18.295,1.71,3.23,5.46,20.4
17.325,1.42,2.99,5.05,25.45
17.40942623,1.53,2.83,4.78,30.23
21.49942857,1.31,2.24,3.79,34.03
11.84727273,1.11,2.09,3.54,37.57
19.20891892,0.93,2.04,3.46,41.02
20.8027027,0.92,2.02,3.43,44.45
19.66514286,1.01,1.99,3.37,47.82
23.216,1.25,1.74,2.94,50.76
10.471875,0.82,1.69,2.86,53.62
16.2865,0.91,1.63,2.76,56.38
13.18133333,0.74,1.6,2.7,59.08
14.05666667,0.68,1.56,2.64,61.72
12.39733333,0.69,1.55,2.63,64.35
23.07416667,0.72,1.53,2.59,66.94
19.97269231,0.64,1.44,2.43,69.37
22.76894737,0.8,1.21,2.06,71.42
9.915,0.63,1.19,2.01,73.43
14.64409091,0.56,1.07,1.82,75.25
21.21238095,0.47,1.02,1.73,76.98
21.82333333,0.44,1,1.69,78.67
10.75428571,0.53,0.9,1.52,80.18
14.52461538,0.54,0.89,1.5,81.69
12.79166667,0.46,0.88,1.49,83.18
20.25794118,0.4,0.86,1.45,84.63
12.66740741,0.57,0.85,1.45,86.07
24.66947368,0.54,0.85,1.43,87.5
24.72,0.42,0.8,1.36,88.87
20.568,0.31,0.7,1.18,90.05
,,,,
Group 39,,,,
Average similarity: 53.81,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
37.56363636,1.77,4.92,9.15,9.15
38.5183871,1.74,4.78,8.88,18.02
33.63655172,1.66,4.48,8.33,26.36
37.0488,0.89,2.48,4.61,30.96
8.47375,1.43,2.48,4.61,35.57
19.6197619,1.06,2.36,4.38,39.95
30.80365385,0.9,2.26,4.2,44.15
20.361875,0.83,2.25,4.17,48.32
19.20891892,0.87,2.18,4.06,52.38
19.66514286,0.91,1.98,3.68,56.06
15.538,1.13,1.78,3.31,59.37
19.86137931,0.66,1.63,3.02,62.4
20.8027027,0.68,1.55,2.89,65.29
14.6988,0.6,1.41,2.63,67.91
20.84133333,0.65,1.38,2.57,70.49
17.62533333,0.71,1.31,2.44,72.93
15.20823529,0.58,1.28,2.38,75.31
16.2865,0.57,1.25,2.32,77.63
17.40942623,0.66,1.22,2.27,79.9
17.95647059,0.57,1.11,2.05,81.96
9.755306122,0.4,1.03,1.91,83.87
19.05166667,0.55,1,1.86,85.73
9.7,0.53,0.99,1.84,87.56
16.71571429,0.41,0.85,1.59,89.15
19.97269231,0.44,0.77,1.43,90.58
,,,,
Group 30,,,,
Average similarity: 42.93,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
30.80365385,1.39,5.14,11.97,11.97
37.0488,1.26,4.26,9.91,21.89
17.40942623,0.91,3.35,7.8,29.69
19.6197619,0.99,3.1,7.22,36.9
19.66514286,0.86,2.92,6.8,43.7
17.62533333,0.77,2.83,6.59,50.29
14.6988,0.8,2.79,6.51,56.8
16.2865,0.74,2.76,6.44,63.24
17.95647059,0.7,2.56,5.95,69.19
13.86416667,0.82,2.41,5.62,74.81
15.20823529,0.72,2.3,5.35,80.16
19.20891892,0.75,1.97,4.59,84.75
14.05666667,0.65,1.9,4.41,89.17
20.8027027,0.5,1.76,4.09,93.26
,,,,
Group 48,,,,
Average similarity: 29.89,,,,
,,,,
Species,Av.Abund,Av.Sim,Contrib%,Cum.%
30.80365385,1.75,4.64,15.53,15.53
22.76894737,0.94,3.68,12.31,27.84
17.40942623,0.84,2.25,7.53,35.36
19.86137931,0.7,2.24,7.49,42.86
