,M10,M12,M14,M15,M16,M17,M18,M19,M2,M20,M21,M23,M24,M25,M26,M27,M28,M29,M3,M30,M31,M33,M35,M36,M37,M38,M39,M4,M40,M41,M43,M44,M45,M46,M47,M48,M5,M6,M7,M8,M9,P10,P12,P14,P15,P16,P17,P18,P19,P2,P20,P21,P23,P24,P25,P26,P27,P28,P29,P3,P30,P31,P33,P35,P36,P37,P38,P39,P4,P40,P41,P43,P44,P45,P46,P47,P48,P5,P6,P7,P8,P9
8.061111111,0,0,24.0939326,0,0,9.282569891,0,0,0,0,0,0,7.605172647,0,0,0,0,0.81421254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.272860758,0,6.167923502,0,0,0,0,0,0,0,0,0,0,6.902514355,0,0,0,0,0,0,2.364100113,0,10.00632958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.23,0,0,4.287900083,0,0,0,0,0,0,0,0,0,0,0,0,0,1.025255603,0,0,0.566139446,0,0,0,0,0,0,0,0,0,0,0,1.322678489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86581796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.307142857,0,0.626606758,0,0,0.983754953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18138996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398807256,0,0,0,0,0,0,0,0,0,0,0,0,0.686609422,0.173189337,0,0,0,0,0,0,0.617997772,0,0,0,0,0,0,0,0,0,0,0,0
8.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481092796,0,0,0,0,0,0,0,3.056606879,0,0,0,0,0,0,0,0.387203376,0,0,0,0,0.378407077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.095506502,0,0,0
8.47375,0,0,0,0,1.740165493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.531307655,0,0,0,0,0,0,6.437351212,7.548403792,0,2.652935511,0,7.873310893,0,0,0,2.033962742,0,7.009182977,0,0,0,2.430061132,0,0,0,2.796327289,0,0,0,0,0,0,5.762105356,0,0,1.514337045,0,0,0.584440302,0,0,0,0,0,0,0,0,1.337983668,0,0,0,0,0,2.090195681,2.895127712,0,0,0,0,0,0,0
8.516153846,0.927471507,0,0,0,0.76030918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.395411952,0.705788046,0,0,0,0,0,0,0,0,2.181088471,0,0.28415229,0,0,0,0,0,14.09961508,0,0,0,1.596524642,0,0.56834421,0,0,0,0,0,0,1.173687731,0,0,0,0,5.447412997,0,0.80157334,0,0,1.834053887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.545666667,0,2.398978807,0,0,3.636463882,0,0,0,0,2.102416276,0,0,0.481537421,0,0,0,0,0,0,0,0,0,0,0,0.411865089,0,0,0,0,0.317913566,0,0,0,0,1.315501947,0,0,0,0,0,0,0,0,0,0.509931471,0,0,2.778834871,0,0,0,0,0,0,0,1.083024005,0,0.309390881,0.350758066,2.024564537,0,0,0,0,0,0,0,0,0,0.486598781,1.026438166,0,0,0,0,0,0,0,0,0,0,0
8.904761905,2.654917203,0,0,0,0,0,0,0,0,0,0,0,0,9.008571782,0,0,0,0,0,2.923104028,0,0,2.97629986,0,0,0,0,4.261499335,1.249400095,0,0,8.959328143,0,0,0,2.054290862,0,0,0,9.430549784,0,0,0,0,0,0,0,0,0,17.18402433,0,0,0,0.783403156,0,0,0,2.23152074,0,0,0,0,0,6.298702683,4.16237415,0,0,1.150794169,5.714246559,0,5.433977539,0,13.90320964,2.455781294,2.187895454,0,0,0,0,0,16.57993951,0
8.99,0.667846827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.843074436,0,0,0,3.13425946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.26,0,0,0,0,0,0,0,0,0,0,0,0,0.78245069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230863154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806324171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.693125,0,1.372217097,0,0,0,0,2.895464265,0.203567918,2.170270314,0,0,2.108538668,0.845234399,0,0.819592779,0,0.769342358,0,0,0,1.146436008,0,0,0.27882276,0.265145852,1.195186526,0,0,0.153375066,0,0,0,0.787417177,0.865088599,0,0,0,0,0,0,3.084549884,0,0,0,0,0.437638037,0,0,0,0,0,0,0,0,0,1.560906373,0,0,0,0,3.753452497,0,0,0,0,0,1.982694768,0,0,0,0.933666633,0,3.673621685,0,0.504006352,0,0,0,0,0,0,2.38144221
9.7,0,0.269337535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.044593316,0,0,0,0,2.525046092,0,0,0,0,0,0,3.098021873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403105442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.755306122,2.191147766,3.700126083,0,0,3.483886147,0,2.560126374,0.358889951,2.465314469,0,2.239412736,1.214066465,1.552393449,0,1.287826468,0,0.607170976,0,10.36615888,0,1.518124438,0,2.30814417,0.301083672,1.609446783,1.19263295,0.552828469,0,0.08830866,0,2.88945107,1.847230171,1.594217981,0.682021263,0,1.338872984,2.331534206,1.412658913,3.120246922,0,0,0,3.725858589,0,0,0.505582901,0,0,0,0,0,1.429595949,0,0,0,2.820031969,0,1.666223545,0.922856721,0,0,1.68531233,1.426295643,1.804854103,0,2.967836555,1.32417527,0.422675053,0,0.722381665,1.400346499,1.246881402,3.11455726,1.8893779,0.342506189,2.49516998,0,0,7.568124784,5.843783462,0,1.566123228
9.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13927391,0,0,0,0,0,0,0,0,1.303323398,3.519743756,0,0,0,0,0,0,0,0,0,0,0,0,0,1.349315827,0,0,0,1.730701367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.89,0,0,0,0,0,0,0,0,3.543601999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412170838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684058323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.915,0,0,0,0,0,0,0,0,0,0,0,1.088259622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67938042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380307982,0,0,0,0,0,0,0,1.115418921
9.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384891587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284177458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.793779288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.038573192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986480729,0,0,0,0,0,4.586877408,0,0
10.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.070263369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965758504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583183674,0,0,0,0,0,0,0,0,0.62237393,0,0,0,0,0,0,0,0,0
10.32285714,0,0,0,0,0,0,1.295508576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589793917,0,0,0.314379592,0,0,0,0,0,0,0,0,0,0,0.471522431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40049683,0,0,0,0,0.685755578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098224818,0,0,0
10.471875,0,0,0,0,0,0,0,0,0,0,2.053860179,1.461043062,0,0,0.563873786,0,0,0,0,0,0,0,0,0,0,1.502164928,0,0,0,0,0,0,0,0,0,0,0.904279991,1.30976265,8.896131189,0,0,0,2.707214424,0,0,0,0,0,1.819860025,0,0,0,1.096674347,0,0,0,0,0,0,2.175030752,0,0,0,0,0.978801638,0,0.604524309,0,1.662352478,0,0,0,0,0,0,0,0,0.875152513,0,0,0,1.493066248
10.59333333,0,0,0,0,0,0,0,0,0.821860144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971034521,0,0,0,0,0,1.033424828
10.692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312778109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.720645414,0,0,1.524350326,0,0,0,0,0,0.67210518,0,0,0,0,0,0.88463285
10.75428571,0,0,0,0,0,0,0,0,2.712930917,0,0,0.955691057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.368989987,0,0,0,0,0,0,0,0,0,0,0,0.480691032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907259026,0,0.981208771,0,0,0,0,0,2.098828391
11.04931818,0,0,0,0,0,0,0,0,3.665487355,0,0,0.740008656,0,0,0,0,0,0,5.788458111,0,0,0,0,0,0,0,0,0,0.209858676,0,0,0,0.370866925,0,0,0,0,0,0,0,1.009000451,0,1.376328394,0,0,0.260770831,0,0,0,0,0,0,0.272328233,0,0,0,0,0,0,2.315173441,0.57564919,0,0.347632679,0,0,0.588894944,1.026064125,0,2.499373177,0,0,0.423883318,1.674502202,0,0,1.578342785,0,1.707936379,0,4.249198438,9.724839736,3.977991328
11.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302744464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548947323,0,0,0,0,0,0
11.23666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520387504,17.0114991,0,0,0,0,0,0,3.706326421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.81888889,1.611889113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18541292,0,1.539164408,0,0,0,0,0.756720567,0,0.466235392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50089435,3.023635668,0,0,0,0,0,0,0,0.271967421,0,0,0,0,0,2.863207035,0,0,0,0,0,0
11.84727273,0,0,0,0,1.185042356,0,2.442398139,0,0,0,0,2.654518121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312480241,0,0,0,0,0,0,0,2.164423241,5.928313432,0,0,2.41906972,0,0,0,0.548366761,0,0,0,0,0,0,1.497828096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375320104,0.788376062,0,0,0,0,0,0,0
